,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,num,name,affinity_score,smiles,BBB+/BBB-
15,15,15,74,75.0,SKF89124,1,CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2,
16,16,16,85,86.0,Org30526,1,Clc1ccc2c(c1)C1CNCC1c1ccccc1O2,
17,17,17,100,101.0,acetaminophen,1,CC(=O)Nc1ccc(O)cc1,
18,18,18,101,102.0,acetylsalicylate,0,CC(=O)Oc1ccccc1C(=O)O,
19,19,19,102,103.0,allopurinol,0,O=c1ncnc2[nH][nH]cc1-2,
20,20,20,103,104.0,Alprostadil,0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,
21,21,21,107,108.0,ampicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,
22,22,22,109,110.0,oxaflumazine,1,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2.O=C(O)CCC(=O)O,
23,23,23,112,113.0,oxycodone,1,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,
24,24,24,116,117.0,pentazocine,1,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,
25,25,25,118,119.0,Etoposide,0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,
26,26,26,121,122.0,Foscarnetsodium,1,O=C([O-])P(=O)([O-])[O-],
27,27,27,122,123.0,Gabapentin,1,NCC1(CC(=O)O)CCCCC1,
28,28,28,123,124.0,Nafcillin,0,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12,
29,29,29,124,125.0,Nalidixicacid,0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,
30,30,30,130,131.0,carbenicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,
31,31,31,132,133.0,carteolol,0,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,
32,32,32,138,139.0,perphenazine-HCl,1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,
33,33,33,144,145.0,physostigmine,1,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,
34,34,34,146,147.0,Omeprazole,0,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,
35,35,35,149,150.0,Phenoxymethylpenicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],
36,36,36,152,153.0,chlorpropamide,0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,
37,37,37,155,156.0,clofibrate,0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,
38,38,38,158,159.0,corticosterone,0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,
39,39,39,160,161.0,piflutixol,1,OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,
40,40,40,164,165.0,prazepam,1,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,
41,41,41,166,167.0,primidone,1,CCC1(c2ccccc2)C(=O)NCNC1=O,
42,42,42,169,170.0,promazine,1,CN(C)CCCN1c2ccccc2Sc2ccccc21,
43,43,43,170,171.0,Pindolol,1,CC(C)NCC(O)COc1cccc2[nH]ccc12,
44,44,44,171,172.0,Plicamycin,1,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,
45,45,45,172,173.0,Pravastatin,0,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,
46,46,46,175,176.0,Trimetrexate,0,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,
47,47,47,178,179.0,Urea,1,NC(N)=O,
48,48,48,179,180.0,coumarin,0,O=c1ccc2ccccc2o1,
49,49,49,181,182.0,Dehydrocholic acid,0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C,
50,50,50,182,183.0,dicumarol,0,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,
51,51,51,185,186.0,Digitoxin,0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,
52,52,52,190,191.0,propofol,1,CC(C)c1cccc(C(C)C)c1O,
53,53,53,192,193.0,pyridazinone,1,O=c1cc[nH]nc1,
54,54,54,195,196.0,reserpine,1,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,
55,55,55,196,197.0,secobarbital,1,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,
56,56,56,198,199.0,Atovaquone,0,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,
57,57,57,199,200.0,Azelaicacid,0,O=C(O)CCCCCCCC(=O)O,
58,58,58,201,202.0,Bacitracin,0,CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,
59,59,59,202,203.0,Bethanechol,0,CC(C[N+](C)(C)C)OC(N)=O,
60,60,60,207,208.0,doxorubicin,0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,
61,61,61,209,210.0,Dyclonine,0,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,
62,62,62,217,218.0,temazepam,1,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,
63,63,63,218,219.0,tetrabenzine,1,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,
64,64,64,223,224.0,thiothixene,1,CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,
65,65,65,225,226.0,trazodone,1,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,
66,66,66,226,227.0,Busulfan,1,CS(=O)(=O)OCCCCOS(C)(=O)=O,
67,67,67,227,228.0,Cefradine,0,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,
68,68,68,229,230.0,Cisapride,1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,
69,69,69,230,231.0,Cladribine,1,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,
70,70,70,233,234.0,Ethacrynic acid,0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,
71,71,71,236,237.0,floxuridine,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,
72,72,72,237,238.0,Flucloxacillin,0,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,
73,73,73,239,240.0,furosemide,0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,
74,74,74,243,244.0,triflupromazine,1,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,
75,75,75,244,245.0,trifluroperazine,1,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,
76,76,76,250,251.0,valproicacid,1,CCCC(CCC)C(=O)O,
77,77,77,252,253.0,Clofazimine,0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,
78,78,78,253,254.0,Colchicine,0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,
79,79,79,257,258.0,Ipratropiumbromide,0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,
81,81,81,267,268.0,35,0,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,
82,82,82,271,272.0,Alprazolam,1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,
83,83,83,274,275.0,Kanamycin,0,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,
84,84,84,278,279.0,isoniazid,0,NNC(=O)c1ccncc1,
85,85,85,279,280.0,Isoproterenol,0,CC(C)NCC(O)c1ccc(O)c(O)c1,
86,86,86,288,289.0,Cimetidine,0,CN=C(NC#N)NCCSCc1nc[nH]c1C,
87,87,87,291,292.0,Metoprolol,1,COCCc1ccc(OCC(O)CNC(C)C)cc1,
88,88,88,292,293.0,Metronidazole,1,Cc1ncc([N+](=O)[O-])n1CCO,
89,89,89,296,297.0,Propanthelinebromide,0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,
90,90,90,297,298.0,Pyrazinamide,1,NC(=O)c1cnccn1,
91,91,91,300,301.0,Quinine,0,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,
92,92,92,301,302.0,melphalan,0,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,
93,93,93,305,306.0,mestranol,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,
94,94,94,310,311.0,Icotidine,0,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1.[H+].[H+].[H+],
95,95,95,311,312.0,L-663581,1,CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,
96,96,96,313,314.0,Mianserin,1,CN1CCN2c3ccccc3Cc3ccccc3C2C1,
97,97,97,318,319.0,Sodiumamidotrizoate,0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,
98,98,98,320,321.0,Stavudine,1,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,
99,99,99,321,322.0,Streptomycin,0,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,
100,100,100,330,331.0,norfenefrine,0,NCC(O)c1cccc(O)c1,
101,101,101,331,332.0,nylidrin,0,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,
102,102,102,332,333.0,Oxandrolone,0,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,
103,103,103,333,334.0,Oxaprozin,0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,
104,104,104,342,343.0,Ranitidine,0,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,
105,105,105,344,345.0,Tamoxifen,1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,
106,106,106,346,347.0,Topotecan,1,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,
107,107,107,347,348.0,Zalcitabine,1,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,
108,108,108,348,349.0,Zonisamide,1,NS(=O)(=O)Cc1noc2ccccc12,
109,109,109,350,351.0,Calcium-folinate,1,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,
110,110,110,353,354.0,penicillin G,0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,
112,112,112,356,357.0,pheniramine,0,CN(C)CCC(c1ccccc1)c1ccccn1,
113,113,113,357,358.0,Phenolphthalein,0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,
114,114,114,360,361.0,pirbuterol,0,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,
115,115,115,362,363.0,Phenserine,1,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,
116,116,116,363,364.0,Temelastine,0,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,
117,117,117,364,365.0,Tibolone,1,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,
118,118,118,365,366.0,Ceftazidime,1,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,
119,119,119,369,370.0,Mesna,0,O=S(=O)([O-])CCS,
120,120,120,370,371.0,Streptozotocin,0,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,
121,121,121,371,372.0,Teniposide,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](OC3OC5COC(c6cccs6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,
122,122,122,378,379.0,progesterone,0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,
123,123,123,379,380.0,propranolol,0,CC(C)NCC(O)COc1cccc2ccccc12,
124,124,124,380,381.0,proscillaridin,0,CC1OC(O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(O)C1O,
125,125,125,382,383.0,ribavirin,0,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,
126,126,126,391,392.0,Bis-hydroxylated-L-663581,0,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,
127,127,127,392,393.0,ICI17148,1,Cc1nc(sc1)\[NH]=C(\N)N,
128,128,128,394,395.0,Thioperamide,1,S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,
129,129,129,395,396.0,rifampin,0,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,
130,130,130,396,397.0,salicylic acid,0,O=C(O)c1ccccc1O,
131,131,131,397,398.0,scopolamine,0,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,
132,132,132,398,399.0,Spironolactone,0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,
133,133,133,399,400.0,Stanozolol,0,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,
134,134,134,408,409.0,Aminopyrine,1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,
135,135,135,410,411.0,Benzene,1,c1ccccc1,
136,136,136,412,413.0,Bromperidol,1,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,
137,137,137,415,416.0,Tifluadom,1,CN1c2ccccc2C(c2ccccc2F)=NCC1CNC(=O)c1ccsc1,
138,138,138,417,418.0,BRL52537,1,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCC[C@H]1CN1CCCC1,
139,139,139,419,420.0,BRL52656,1,O=C(Cc1ccc(C(F)(F)F)cc1)N1CCCC[C@H]1CN1CCCC1,
140,140,140,420,421.0,BRL52871,1,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2sccc2[C@H]1CN1CCCC1,
141,141,141,423,424.0,tolazamide,0,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,
142,142,142,425,426.0,Triamcinolone,0,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,
143,143,143,426,427.0,Triamterene,0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,
144,144,144,427,428.0,Trichlormethiazide,0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,
145,145,145,454,455.0,amphetamine,1,CC(N)Cc1ccccc1,
146,146,146,467,468.0,cp29,1,CCCCCn1ccc(=O)c(O)c1C,
147,147,147,469,470.0,cp94,1,CCc1c(O)c(=O)ccn1CC,
148,148,148,471,472.0,antipyrine,1,Cc1cc(=O)n(-c2ccccc2)n1C,
149,149,149,473,474.0,arecoline,1,COC(=O)C1=CCCN(C)C1,
150,150,150,476,477.0,benperidol,1,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,
151,151,151,477,478.0,benzocaine,1,CCOC(=O)c1ccc(N)cc1,
152,152,152,479,480.0,benztropine,1,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,
153,153,153,483,484.0,Isoflurane,1,FC(F)OC(Cl)C(F)(F)F,
154,154,154,488,489.0,Nor-2-chlorpromazine,1,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,
155,155,155,493,494.0,GR85571,1,CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,
156,156,156,494,495.0,GR88377,1,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2[C@H]1CN1CCCC1,
157,157,157,500,501.0,buramate,1,O=C(NCc1ccccc1)OCCO,
158,158,158,503,504.0,cannabidiol,1,C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,
159,159,159,521,522.0,GR94839_F,0,COc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1,
160,160,160,523,524.0,cartazolate,1,CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC,
161,161,161,526,527.0,chlordiazepoxide,1,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,
162,162,162,543,544.0,GR94839_H,0,CC(=O)N1CCN(C(=O)Cc2ccccc2)[C@@H](CN2CC[C@@H](O)C2)C1,
163,163,163,545,546.0,GR94839_L,0,CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1,
164,164,164,553,554.0,clonazepam,1,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,
165,165,165,556,557.0,cocaine,1,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,
166,166,166,568,569.0,Y-G20,0,NCCc1cn2ccccc2n1,
167,167,167,573,574.0,naltrexone,1,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,
168,168,168,574,575.0,norfloxacin,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,
169,169,169,590,591.0,Carbamazepineepoxide,1,NC(=O)N1c2ccccc2C2OC2c2ccccc21,
170,170,170,592,593.0,Tertbutylchlorambucil,1,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,
171,171,171,594,595.0,Ebastine,0,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,
172,172,172,598,599.0,salbutamol,0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,
173,173,173,600,601.0,SB201708,1,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CCCC1,
174,174,174,604,605.0,SB205563,0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCO)C[C@@H]1CN1CC[C@@H](O)C1,
175,175,175,615,616.0,05-Jun,1,s1cc(CSCCN\C(NC)=[NH]\C#N)nc1\[NH]=C(\N)N,
176,176,176,624,625.0,skb_a,1,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,
177,177,177,625,626.0,skb_c,1,CC[C@H](NC(=O)c1c(OCCCN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,
178,178,178,626,627.0,skb-d,0,CC[C@H](NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,
179,179,179,627,628.0,skb-e,0,CC[C@H](NC(=O)c1c(OCCCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,
180,180,180,629,630.0,skb-g,0,CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,
181,181,181,634,635.0,etymemazine,1,CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,
182,182,182,637,638.0,flurazepam,1,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,
183,183,183,638,639.0,glaziovine,1,COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2,
184,184,184,642,643.0,harman,1,Cc1nccc2c1[nH]c1ccccc12,
185,185,185,644,645.0,14,1,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,
186,186,186,646,647.0,16,1,n1c(csc1\[NH]=C(\N)N)c1ccccc1,
187,187,187,654,655.0,tenoxicam,0,CN1/C(=C(\O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,
188,188,188,655,656.0,terfenadine,0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,
189,189,189,663,664.0,imipramine,1,CN(C)CCCN1c2ccccc2CCc2ccccc21,
190,190,190,664,665.0,ketamine,1,CNC1(c2ccccc2Cl)CCCCC1=O,
191,191,191,665,666.0,kynurenic acid,1,O=C(O)c1cc(=O)c2ccccc2[nH]1,
192,192,192,670,671.0,28,1,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,
193,193,193,675,676.0,9-C1,1,Cn1c(=O)c2nc[nH]c2n(C)c1=O,
194,194,194,676,677.0,lenperone,1,O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1,
195,195,195,677,678.0,levorphanol,1,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,
196,196,196,691,692.0,Albendazole,1,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,
197,197,197,695,696.0,methamphetamine,1,CN[C@@H](C)Cc1ccccc1,
198,198,198,700,701.0,methylpentynol,1,C#CC(C)(O)CC,
199,199,199,704,705.0,Aminosalicylicacid,0,Nc1ccc(C(=O)O)c(O)c1,
200,200,200,706,707.0,Dacarbazine,1,CN(C)N/N=C1/N=CN=C1C(N)=O,
201,201,201,712,713.0,midazolam maleate,1,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,
202,202,202,714,715.0,morphine,1,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(O)C=C[C@H]3[C@H]1C5,
203,203,203,715,716.0,MPTP,1,CN1CC=C(c2ccccc2)CC1,
204,204,204,717,718.0,nicotine,1,CN1CCC[C@H]1c1cccnc1,
205,205,0,0,,,0,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,BBB-
